date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,-24.36,3277.81,6472.65,0.00,15.22,233.59,106.84,136.40,0.00,0.00,0.00,548.71,0.00,0.00,0.00,0.00,0.00,4206742.17,5927617.79,0.00,15999.76,134246.52,68090.62,108167.59,0.00,0.00,971.58,0.00,0.00,481088.49,51619978.41,121529778.66,0.00,467673.17,4558652.02,2566761.62,2637473.07,0.00,0.00,0.00,8917250.55,0.00,0.00,0.00
1999-01-01,0.00,-42.41,4351.95,8146.82,0.00,3.58,349.21,216.67,108.66,0.00,0.00,0.00,723.98,0.00,0.00,0.00,0.00,0.00,5532634.93,7536431.40,0.00,3755.77,200936.59,143386.08,94221.79,0.00,0.00,974.95,0.00,0.00,7092317.61,104148514.95,456167375.19,0.00,3711809.52,18122733.54,10635793.05,14748874.23,0.00,0.00,0.00,29711089.47,0.00,0.00,0.00
1999-02-01,0.00,-21.76,4152.66,7544.71,0.00,2.11,349.63,203.68,110.13,0.00,0.00,0.00,597.16,0.00,0.00,0.00,0.00,0.00,5319088.96,6982237.14,0.00,2218.78,200723.06,135615.04,94714.81,0.00,0.00,984.25,0.00,0.00,1861679.76,96824618.44,259248544.29,0.00,233179.49,35468024.37,10399644.39,6938061.50,0.00,0.00,0.00,16608666.59,0.00,0.00,0.00
1999-03-01,0.00,-64.13,4622.21,8216.42,0.00,11.16,253.30,235.45,124.76,0.00,0.00,0.00,555.49,0.00,0.00,0.00,0.00,0.00,5903831.61,7603909.75,0.00,11701.17,145212.62,157329.32,106592.15,0.00,0.00,998.13,0.00,0.00,3644431.33,94880820.20,259307264.20,0.00,1769403.74,12053332.99,8943795.13,7707899.14,0.00,0.00,0.00,16394626.63,0.00,0.00,0.00
1999-04-01,0.00,-18.47,4204.41,7706.61,0.00,1.74,350.15,221.96,87.82,0.00,0.00,0.00,515.20,0.00,0.00,0.00,0.00,0.00,5403472.50,7097382.12,0.00,1812.13,201618.75,149498.28,75395.47,0.00,0.00,989.27,0.00,0.00,368684.65,143920319.35,241287006.62,0.00,65833.80,27691428.47,12331513.72,3812665.42,0.00,0.00,0.00,16764094.10,0.00,0.00,0.00
1999-05-01,0.00,-52.86,4357.27,8448.54,0.00,3.68,406.98,233.67,69.47,0.00,0.00,0.00,502.36,0.00,0.00,0.00,0.00,0.00,5595312.27,7753378.34,0.00,3866.45,233938.70,158427.48,59347.52,0.00,0.00,988.20,0.00,0.00,1146792.24,124667095.68,237123703.04,0.00,294641.58,18347129.20,8441416.07,2402956.05,0.00,0.00,0.00,15490983.29,0.00,0.00,0.00
1999-06-01,0.00,-39.99,4490.78,8810.21,0.00,0.31,358.47,212.79,82.74,0.00,0.00,0.00,480.16,0.00,0.00,0.00,0.00,0.00,5721296.04,8097071.64,0.00,328.57,205222.59,147092.47,70337.99,0.00,0.00,989.29,0.00,0.00,947624.35,140601924.99,277705593.49,0.00,13930.27,19772599.94,8958551.75,3579713.61,0.00,0.00,0.00,17985673.72,0.00,0.00,0.00
1999-07-01,0.00,-35.85,4865.61,8783.77,0.00,0.00,363.72,237.34,97.96,0.00,0.00,0.00,565.83,0.00,0.00,0.00,0.00,0.00,6231786.04,8104978.23,0.00,4.86,206671.32,161366.47,83825.21,0.00,0.00,993.97,0.00,0.00,852255.49,121911976.78,228506043.06,0.00,91.65,16625952.63,8841963.44,2947720.59,0.00,0.00,0.00,15502936.82,0.00,0.00,0.00
1999-08-01,0.00,-33.76,4669.49,8627.71,0.00,6.66,456.34,230.07,127.90,0.00,0.00,0.00,523.46,0.00,0.00,0.00,0.00,0.00,6003026.13,7990985.42,0.00,6993.63,256740.45,153048.87,109118.25,0.00,0.00,993.98,0.00,0.00,1204366.24,121839089.52,330640395.72,0.00,1286672.52,20078425.32,10039403.47,9988215.25,0.00,0.00,0.00,17651496.96,0.00,0.00,0.00
1999-09-01,0.00,-3.54,4403.19,8001.07,0.00,0.00,346.14,210.33,115.84,0.00,0.00,0.00,450.29,0.00,0.00,0.00,0.00,0.00,5667214.69,7407817.88,0.00,0.00,197793.69,146597.14,99983.90,0.00,0.00,999.71,0.00,0.00,75481.62,89259983.77,200826495.37,0.00,0.00,14569495.05,7128662.86,3993110.63,0.00,0.00,0.00,9986551.26,0.00,0.00,0.00
