# https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2025+Source.csv
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-19 02:27:22 UTC
#
Link,Name,ID,Title,Company,Year,Report Type,Original Link
https://wikirate.org/~22260635,Source-000241316,22260635,SHEIN |  (FTI 2025 Source),Shein,2025,"",https://www.sheingroup.com/corporate-news/company-updates/shein-ramps-up-denim-production-using-cool-transfer-denim-printing-by-90-in-2024/
https://wikirate.org/~22260626,Source-000241314,22260626,MUJI |  (FTI 2025 Source),Muji,2025,"",https://www.ryohin-keikaku.jp/eng/sustainability/supply-chain/partners/
https://wikirate.org/~22260617,Source-000241312,22260617,Carolina Herrera |  (FTI 2025 Source),Carolina Herrera,2025,"",https://www.puig.com/en/sustainability/
https://wikirate.org/~22260612,Source-000241311,22260612,Kmart Australia |  (FTI 2025 Source),Kmart Australia,2025,"",https://www.kmart.com.au/factorylist/
https://wikirate.org/~22260607,Source-000241310,22260607,JD Sports |  (FTI 2025 Source),JD Sports Fashion plc,2025,"",https://www.jdplc.com/esg/modern-slavery/group-private-label-supply-chain/
https://wikirate.org/~22260603,Source-000241309,22260603,Monoprix |  (FTI 2025 Source),Monoprix,2025,"",https://www.groupe-casino.fr/en/
https://wikirate.org/~22260598,Source-000241308,22260598,Dressmann |  (FTI 2025 Source),Dressmann,2025,"",https://varner.com/en/sustainability/
https://wikirate.org/~22260594,Source-000241307,22260594,Foschini |  (FTI 2025 Source),Foschini,2025,"",https://tfglimited.co.za/sustainability/overview/
https://wikirate.org/~22260589,Source-000241306,22260589,River Island Clothing Company Ltd |  (FTI 2025 Source),River Island,2025,"",https://opensupplyhub.org/facilities?contributors=953&sort_by=contributors_desc
https://wikirate.org/~22260585,Source-000241305,22260585,Gap |  (FTI 2025 Source),"Banana Republic
Gap inc.
Old Navy",2025,"",https://opensupplyhub.org/facilities?contributors=6941&sort_by=contributors_desc
https://wikirate.org/~22260580,Source-000241304,22260580,C&A |  (FTI 2025 Source),C&A,2025,"",https://opensupplyhub.org/facilities?contributors=6750&sort_by=name_asc
https://wikirate.org/~22260567,Source-000241301,22260567,New Look |  (FTI 2025 Source),New Look Retail Group,2025,"",https://opensupplyhub.org/facilities?contributors=358&lists=6968&sort_by=contributors_desc
https://wikirate.org/~22260562,Source-000241300,22260562,New Look |  (FTI 2025 Source),New Look Retail Group,2025,"",https://opensupplyhub.org/facilities?contributors=358&lists=6860&sort_by=contributors_desc
https://wikirate.org/~22260558,Source-000241299,22260558,Ermenegildo Zegna |  (FTI 2025 Source),Ermenegildo Zegna,2025,"",https://opensupplyhub.org/facilities?contributors=2953&sort_by=contributors_desc
https://wikirate.org/~22260549,Source-000241297,22260549,Mango |  (FTI 2025 Source),"MANGO (Punto Fa, S.L.)",2025,"",https://opensupplyhub.org/facilities?contributors=1387&sort_by=contributors_desc
https://wikirate.org/~22260544,Source-000241296,22260544,Bonprix |  (FTI 2025 Source),"Bonprix
Otto Group",2025,"",https://opensupplyhub.org/facilities?contributors=12459&sort_by=contributors_desc
https://wikirate.org/~22260535,Source-000241294,22260535,Michael Kors |  (FTI 2025 Source),"Capri Holdings Ltd (formerly Michael Kors)
Gianni Versace S.r.l.",2025,"",https://opensupplyhub.org/facilities?contributors=11187&sort_by=contributors_desc
https://wikirate.org/~22260531,Source-000241293,22260531,New Balance |  (FTI 2025 Source),"New Balance Athletic Shoe, Inc.",2025,"",https://opensupplyhub.org/facilities?contributors=10959&sort_by=contributors_desc
https://wikirate.org/~22260526,Source-000241292,22260526,Amazon |  (FTI 2025 Source),"Amazon.com, Inc.",2025,"",https://opensupplyhub.org/facilities?contributors=1078&lists=3316&sort_by=name_asc
https://wikirate.org/~22260522,Source-000241291,22260522,Fanatics Brands |  (FTI 2025 Source),"Fanatics, Inc",2025,"",https://opensupplyhub.org/facilities?contributors=10565&lists=7996&sort_by=name_asc
https://wikirate.org/~22260517,Source-000241290,22260517,s.Oliver |  (FTI 2025 Source),S.Oliver,2025,"",https://opensupplyhub.org/facilities/?sort_by=contributors_desc
https://wikirate.org/~22260513,Source-000241289,22260513,Armani |  (FTI 2025 Source),Giorgio Armani SpA,2025,"",https://opensupplyhub.org/facilities/?contributors=5103
https://wikirate.org/~22260499,Source-000241286,22260499,Hanes (HBI) |  (FTI 2025 Source),Hanesbrands,2025,"",https://hbisustains.com/transparency-map-2/
https://wikirate.org/~22260494,Source-000241285,22260494,Hanes (HBI) |  (FTI 2025 Source),Hanesbrands,2025,"",https://hbisustains.com/teddy-mendoza-when-crisis-hits-home/
https://wikirate.org/~22260490,Source-000241284,22260490,Hanes (HBI) |  (FTI 2025 Source),Hanesbrands,2025,"",https://hbisustains.com/human-rights-responsible-sourcing/
https://wikirate.org/~22260485,Source-000241283,22260485,Hanes (HBI) |  (FTI 2025 Source),Hanesbrands,2025,"",https://hbisustains.com/hanesbrands-and-education-investing-in-our-associates/
https://wikirate.org/~22260472,Source-000241280,22260472,Hanes (HBI) |  (FTI 2025 Source),Hanesbrands,2025,"",https://hbisustains.com/cdp-disclosures/
https://wikirate.org/~22260467,Source-000241279,22260467,Gildan Activewear Inc. |  (FTI 2025 Source),Gildan Activewear Inc.,2025,"",https://gildancorp.com/en/responsibility/respect-for-transparency/esg-reports/
https://wikirate.org/~22260463,Source-000241278,22260463,Gildan Activewear Inc. |  (FTI 2025 Source),Gildan Activewear Inc.,2025,"",https://gildancorp.com/en/responsibility/respect-for-transparency/codes-and-policies/social-and-sustainable-compliance-guidebook/
https://wikirate.org/~22260454,Source-000241276,22260454,Gildan Activewear Inc. |  (FTI 2025 Source),Gildan Activewear Inc.,2025,"",https://gildancorp.com/en/investors/reports-and-filings/reports/
https://wikirate.org/~22260449,Source-000241275,22260449,The Children's Place |  (FTI 2025 Source),Children's Place Inc,2025,Aggregate Data Report,https://corporate.childrensplace.com/esg/
https://wikirate.org/~22260445,Source-000241274,22260445,Bershka |  (FTI 2025 Source),"Bershka
Massimo Dutti S.A.
Oysho
Pull & Bear
Stradivarius
Zara",2025,"",https://www.weforum.org/stories/2023/10/alliance-of-ceo-climate-leaders-open-letter-cop28/
https://wikirate.org/~22260436,Source-000241272,22260436,SHEIN |  (FTI 2025 Source),Shein,2025,"",https://www.sheingroup.com/pdfs/5781/
https://wikirate.org/~22260431,Source-000241271,22260431,SHEIN |  (FTI 2025 Source),Shein,"2025
2024","",https://www.sheingroup.com/our-impact/planet/decarbonizing-our-supply-chain/
https://wikirate.org/~22260427,Source-000241270,22260427,SHEIN |  (FTI 2025 Source),Shein,2025,"",https://www.sheingroup.com/our-impact/our-partnerships/
https://wikirate.org/~22260422,Source-000241269,22260422,SHEIN |  (FTI 2025 Source),Shein,2025,"",https://www.sheingroup.com/corporate-news/sheins-science-based-net-zero-target-is-approved-by-sbti/
https://wikirate.org/~22260418,Source-000241268,22260418,SHEIN |  (FTI 2025 Source),Shein,2025,"",https://www.sheingroup.com/corporate-news/shein-supplier-community-empowerment-program-continuing-the-drumbeat-of-support/
https://wikirate.org/~22260410,Source-000241266,22260410,MUJI |  (FTI 2025 Source),Muji,2025,"",https://www.ryohin-keikaku.jp/eng/sustainability/humanrights/due-diligence/
https://wikirate.org/~22260406,Source-000241265,22260406,MUJI |  (FTI 2025 Source),Muji,2025,"",https://www.ryohin-keikaku.jp/eng/sustainability/environment/climate-change/
https://wikirate.org/~22260402,Source-000241264,22260402,Monoprix |  (FTI 2025 Source),Monoprix,2025,"",https://www.groupe-casino.fr/en/commitments/csr-performance/
https://wikirate.org/~22260394,Source-000241262,22260394,Colombia Sportswear |  (FTI 2025 Source),Columbia Sportswear,2025,"",https://www.columbiasportswearcompany.com/corporate-responsibility-group/responsible-practices/supply-chain/
https://wikirate.org/~22260389,Source-000241261,22260389,Uniqlo |  (FTI 2025 Source),"GU
Uniqlo Co.
Fast_Retailing",2025,"",https://opensupplyhub.org/profile/9334?contributors=9292&sort_by=contributors_desc
https://wikirate.org/~22260385,Source-000241260,22260385,Target |  (FTI 2025 Source),Target,2025,"",https://opensupplyhub.org/facilities?contributors=8711&lists=6351&sort_by=name_asc
https://wikirate.org/~22260381,Source-000241259,22260381,Zalando |  (FTI 2025 Source),Zalando SE,2025,"",https://opensupplyhub.org/facilities?contributors=869&sort_by=name_asc
https://wikirate.org/~22260376,Source-000241258,22260376,HEMA |  (FTI 2025 Source),Hema,2025,"",https://opensupplyhub.org/facilities?contributors=836&sort_by=name_asc
https://wikirate.org/~22260372,Source-000241257,22260372,Calvin Klein |  (FTI 2025 Source),"Calvin Klein Inc.
Tommy Hilfiger Inc.
PVH",2025,"",https://opensupplyhub.org/facilities?contributors=714&lists=3040&sort_by=name_asc
https://wikirate.org/~22260368,Source-000241256,22260368,Sainsbury's |  (FTI 2025 Source),Sainsbury's,2025,"",https://opensupplyhub.org/facilities?contributors=6544&lists=7091&sort_by=name_asc
https://wikirate.org/~22260363,Source-000241255,22260363,Macy's |  (FTI 2025 Source),"Bloomingdale's
Macy's",2025,"",https://opensupplyhub.org/facilities?contributors=6071&lists=4560&sort_by=contributors_desc
https://wikirate.org/~22260359,Source-000241254,22260359,H&M |  (FTI 2025 Source),H&M,2025,"",https://opensupplyhub.org/facilities?contributors=5975&sort_by=contributors_desc
https://wikirate.org/~22260355,Source-000241253,22260355,Primark |  (FTI 2025 Source),Primark,2025,"",https://opensupplyhub.org/facilities?contributors=5629&sort_by=name_asc
https://wikirate.org/~22260351,Source-000241252,22260351,ASOS |  (FTI 2025 Source),Asos,2025,"",https://opensupplyhub.org/facilities?contributors=4302&sort_by=contributors_desc
https://wikirate.org/~22260347,Source-000241251,22260347,COACH |  (FTI 2025 Source),"Coach Stores Limited
Kate Spade & Company",2025,"",https://opensupplyhub.org/facilities?contributors=3903&lists=7230&sort_by=contributors_desc
https://wikirate.org/~22260342,Source-000241250,22260342,Disney |  (FTI 2025 Source),The Walt Disney Company,2025,"",https://opensupplyhub.org/facilities?contributors=3755
https://wikirate.org/~22260338,Source-000241249,22260338,Brooks Sport |  (FTI 2025 Source),"Brooks Sports, Inc",2025,"",https://opensupplyhub.org/facilities?contributors=2594&lists=7002&sort_by=contributors_desc
https://wikirate.org/~22260334,Source-000241248,22260334,Kmart Australia |  (FTI 2025 Source),"Kmart Australia
Target Australia",2025,"",https://opensupplyhub.org/facilities?contributors=2519
https://wikirate.org/~22260330,Source-000241247,22260330,boohoo |  (FTI 2025 Source),"PrettyLittleThing
Boohoo Group plc (trading as Debenhams Group)",2025,"",https://opensupplyhub.org/facilities?contributors=1969&lists=7152&sort_by=name_asc
https://wikirate.org/~22260326,Source-000241246,22260326,Hugo Boss |  (FTI 2025 Source),Hugo Boss AG,2025,"",https://opensupplyhub.org/facilities?contributors=18&lists=4893&sort_by=contributors_desc
https://wikirate.org/~22260322,Source-000241245,22260322,John Lewis |  (FTI 2025 Source),John Lewis,2025,"",https://opensupplyhub.org/facilities?contributors=1246&sort_by=contributors_desc
https://wikirate.org/~22260317,Source-000241244,22260317,Tom Tailor |  (FTI 2025 Source),Tom Tailor,2025,"",https://opensupplyhub.org/facilities?contributors=1232&sort_by=contributors_desc
https://wikirate.org/~22260313,Source-000241243,22260313,Tom Tailor |  (FTI 2025 Source),Tom Tailor,2025,"",https://opensupplyhub.org/facilities?contributors=1232&lists=2561&sort_by=contributors_desc
https://wikirate.org/~22260309,Source-000241242,22260309,Tesco (F&F Clothing) |  (FTI 2025 Source),F&F,2025,"",https://opensupplyhub.org/facilities?contributors=12223&contributor_types=Brand%20%2F%20Retailer&sort_by=name_asc
https://wikirate.org/~22260305,Source-000241241,22260305,Matalan |  (FTI 2025 Source),Matalan,2025,"",https://opensupplyhub.org/facilities?contributors=10236&lists=7354&sort_by=contributors_desc
https://wikirate.org/~22260301,Source-000241240,22260301,Marks & Spencer |  (FTI 2025 Source),Marks and Spencer Group plc,2025,"",https://opensupplyhub.org/facilities?contributors=10061&sort_by=contributors_desc
https://wikirate.org/~22260296,Source-000241239,22260296,Marks & Spencer |  (FTI 2025 Source),Marks and Spencer Group plc,2025,"",https://opensupplyhub.org/facilities?contributors=10061&contributor_types=Brand%20%2F%20Retailer&sort_by=name_asc
https://wikirate.org/~22260292,Source-000241238,22260292,OVS |  (FTI 2025 Source),OVS SpA,2025,"",https://opensupplyhub.org/facilities/?contributors=981
https://wikirate.org/~22260288,Source-000241237,22260288,Dressmann |  (FTI 2025 Source),Dressmann,2025,"",https://opensupplyhub.org/facilities/?contributors=877
https://wikirate.org/~22260284,Source-000241236,22260284,The North Face |  (FTI 2025 Source),"The North Face Inc.
The Timberland Company
Vans",2025,"",https://opensupplyhub.org/facilities/?contributors=3648
https://wikirate.org/~22260280,Source-000241235,22260280,Next |  (FTI 2025 Source),Next PLC,2025,"",https://opensupplyhub.org/facilities/?contributors=194
https://wikirate.org/~22260276,Source-000241234,22260276,Puma |  (FTI 2025 Source),"lululemon athletica
Puma",2025,"",https://opensupplyhub.org/
https://wikirate.org/~22260271,Source-000241233,22260271,Celine |  (FTI 2025 Source),"Christian Dior
Louis Vuitton Malletier SA (LVMH)
Marc Jacobs
Celine",2025,"",https://metiersdart.lvmh.com/
